Features,IV,Rank
APP_EXT_SOURCE_1 EXT_SOURCE_2 EXT_SOURCE_3,0.6228480069122051,suspicious
APP_EXT_SOURCE_2 EXT_SOURCE_3 DAYS_BIRTH,0.562629383020437,suspicious
APP_EXT_SOURCE_2 EXT_SOURCE_3,0.5551436097307852,suspicious
APP_EXT_SOURCE_2 EXT_SOURCE_3^2,0.5445596834494646,suspicious
APP_EXT_SOURCE_2^2 EXT_SOURCE_3,0.518506308454372,suspicious
APP_EXT_SOURCE_1 EXT_SOURCE_3,0.41789569293247886,Strong
APP_EXT_SOURCE_1 EXT_SOURCE_3^2,0.4079887335082142,Strong
APP_EXT_SOURCE_1 EXT_SOURCE_2,0.40161296738836105,Strong
APP_EXT_SOURCE_1 EXT_SOURCE_2^2,0.3980880561717832,Strong
APP_EXT_SOURCE_1 EXT_SOURCE_2 DAYS_BIRTH,0.393511766565412,Strong
APP_EXT_SOURCE_1 EXT_SOURCE_3 DAYS_BIRTH,0.38552830458167825,Strong
APP_EXT_SOURCE_1^2 EXT_SOURCE_3,0.3795225293569663,Strong
APP_EXT_SOURCE_1^2 EXT_SOURCE_2,0.37538817187896645,Strong
APP_EXT_SOURCE_3^2 DAYS_BIRTH,0.355941230149378,Strong
APP_EXT_SOURCE_2^2 DAYS_BIRTH,0.34841830105508736,Strong
APP_EXT_SOURCE_2 DAYS_BIRTH,0.3428562363278757,Strong
APP_EXT_SOURCE_3 DAYS_BIRTH,0.3389639087012693,Strong
APP_EXT_SOURCE_3,0.3328874196512574,Strong
APP_EXT_SOURCE_3^3,0.3266495323437835,Strong
APP_EXT_SOURCE_3^2,0.3266495323437835,Strong
APP_EXT_SOURCE_2,0.31502592271308527,Strong
APP_EXT_SOURCE_2^2,0.31490886664522055,Strong
APP_EXT_SOURCE_2^3,0.31490886664522055,Strong
APP_EXT_SOURCE_2 DAYS_BIRTH^2,0.3099471062392344,Strong
APP_EXT_SOURCE_3 DAYS_BIRTH^2,0.2886329599255707,Medium
APP_EXT_SOURCES_PROD,0.24783207160058585,Medium
APP_EXT_SOURCES_WEIGHTED,0.24648656760419907,Medium
APP_EXT_SOURCE_1^2 DAYS_BIRTH,0.18074023425976374,Medium
APP_EXT_SOURCE_1 DAYS_BIRTH,0.16330468944327878,Medium
APP_EXT_SOURCE_1 DAYS_BIRTH^2,0.1408951193609253,Medium
APP_EXT_SOURCE_1^3,0.1404359746067147,Medium
APP_EXT_SOURCE_1,0.1404359746067147,Medium
APP_EXT_SOURCE_1^2,0.1404359746067147,Medium
CURRENT_DEBT_TO_CREDIT_RATIO_MEAN,0.12458177290218633,Medium
DAYS_CREDIT_MEAN,0.11592499649939528,Medium
APP_CREDIT_TERM,0.11553388508009571,Medium
APP_DAYS_EMPLOYED,0.10679642509661119,Medium
CURRENT_CREDIT_DEBT_DIFF_MIN,0.09640750464518684,Weak
APP_AMT_GOODS_PRICE,0.09582792283619232,Weak
DAYS_CREDIT_UPDATE_MEAN,0.08786205242928315,Weak
APP_DAYS_BIRTH^2,0.08620729339818828,Weak
APP_DAYS_BIRTH,0.08620729339818828,Weak
APP_DAYS_BIRTH^3,0.08620729339818828,Weak
CURRENT_CREDIT_DEBT_DIFF_MEAN,0.08538990859190337,Weak
APP_DAYS_EMPLOYED_PCT,0.08211176513575963,Weak
APP_CREDIT_TO_GOODS_RATIO,0.07577663664387654,Weak
DAYS_CREDIT_MIN,0.07266429654786788,Weak
DAYS_CREDIT_ENDDATE_MEAN,0.0685102888606039,Weak
PREV_PERCENTAGE_CREDIT_GOODS_MEAN,0.06767762462831181,Weak
DAYS_CREDIT_MAX,0.06566873457044439,Weak
BUREAU_LAST_DAYS_CREDIT,0.06566873457044439,Weak
APP_AMT_CREDIT,0.06209768243561788,Weak
BUREAU_AMT_CREDIT_SUM_DEBT_MEDIAN,0.06141677850125966,Weak
DAYS_CREDIT_LAST,0.05747572685723586,Weak
PREV_PRODUCT_COMBINATION_MODE,0.056731844124392514,Weak
APP_NAME_INCOME_TYPE,0.05490023753678021,Weak
PREV_PERCENTAGE_CREDIT_GOODS_MAX,0.054229815359030015,Weak
DAYS_CREDIT_UPDATE_MIN,0.053919384739155744,Weak
CREDIT_CARD_CNT_DRAWINGS_CURRENT_MEAN,0.05338585666097237,Weak
PREV_AMT_DOWN_PAYMENT_SUM,0.05205813047265741,Weak
PREV_RETURN_DAY_MEAN,0.05158070295788143,Weak
DAYS_ENDDATE_FACT_MEAN,0.051567986555599306,Weak
CREDIT_CARD_AMT_BALANCE_LAST,0.0513544417047741,Weak
CREDIT_CARD_AMT_RECEIVABLE_PRINCIPAL_LAST,0.051104886531384765,Weak
CREDIT_CARD_AMT_TOTAL_RECEIVABLE_LAST,0.05105221461723483,Weak
CREDIT_CARD_AMT_RECIVABLE_LAST,0.05105221461723483,Weak
DAYS_ENDDATE_FACT_MIN,0.05083537732027555,Weak
APP_REGION_RATING_CLIENT_W_CITY,0.05040452808720991,Weak
APP_NAME_EDUCATION_TYPE,0.04927058915835471,Weak
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,0.04926035639710748,Weak
